975665,591975,46948.9,238073,652867,982264,X,X,X,X,X,X
972637,438276,39881.2,47983.5,644846,1251770,X,X,X,X,X,X
1279200,845822,21061.1,67429.6,694393,784078,X,X,X,X,X,X
630090,821758,12962.7,43745.2,584678,1065860,X,X,X,X,X,X
68.8002,5888810,43227.7,3898570,80813.4,78623.5,X,X,X,X,X,X
69.8002,6387130,115555,2391760,44636.2,148982,X,X,X,X,X,X
2594.02,4640410,90417.8,2072900,87520.1,17834,X,X,X,X,X,X
60.0002,1740410,19044.4,2530080,10206.2,47219,X,X,X,X,X,X
1394850,699066,50474.2,150968,785369,718696,X,X,X,X,X,X
1447400,349089,36163.2,6237.23,694211,841149,X,X,X,X,X,X
1281730,524003,7620.13,77872.9,668389,447663,X,X,X,X,X,X
495444,458171,5362.85,80875.3,836398,525652,X,X,X,X,X,X
95.2004,3023650,81655.3,2848100,66824.3,70404.9,X,X,X,X,X,X
78.6003,3658300,55872.1,1971740,66244.8,121660,X,X,X,X,X,X
1544.31,2661660,103701,1815830,66362.6,31279.6,X,X,X,X,X,X
110.901,2147580,50609.5,3276570,22215.6,57992.2,X,X,X,X,X,X
